091,la Raiosa,435.47,53337.93,435.47,592.64,201232.83,2140.77,544617.5,59806.22,78.96,92.29,2626501.92,551189.01,231.4302511,453.6535062
092,l'Hort de Senabre,325.58,17310.8,325.58,432.77,132114.48,2032.53,653190.36,51247.39,78.7,102.29,2307603.13,209571.32,203.2593262,400.7099809
093,la Creu Coberta,473.24,31557.54,473.24,1434.43,21406.51,2675.81,255865.89,27670.8,78.06,90.72,849783.92,204141.61,174.6370571,854.1489958
094,Sant Marcel·lí,243.39,6430.7,243.39,207.44,34075.67,1793.46,405073.39,18264.63,82.28,99.81,1202249.32,128565.07,189.4499401,283.1829736
095,CamíReal,267.84,6603.59,267.84,600.33,33352.13,1588.2,155257.49,10901.89,79.33,106.88,563312.17,98671.71,197.653393,601.6567683
101,Mont-Olivet,447.68,22605.3,447.68,491.42,149174.05,2260.21,711402.35,87873.99,79.25,101.71,2935749.3,284268.63,217.9310593,250.6778042
102,En Corts,361.47,21783.14,361.47,453.82,76005.99,2815.04,430115.57,33398.3,78.95,99.1,1668769.2,209686.75,207.894506,310.647037
103,Malilla,339.76,62705.47,339.76,1306.36,183726.76,1819.08,961956.17,101142.56,80.32,108.99,3380723.35,2143193.5,232.1447058,2220.925907
104,Fontetade Sant Lluís,262.28,7046.05,262.28,220.19,31656.1,3517.34,131366.79,19639.16,77.64,114.18,340849.75,88735.55,188.9411031,260.9869118
105,na Rovella,169.46,16030.14,169.46,308.27,20912.21,2091.22,331603.99,14645.15,75.92,96.99,757335.07,235986.46,214.1179163,597.4340759
106,la Punta,153.59,69061.7,153.59,1866.53,171083.34,1103.76,102305.89,172117.55,77.56,130.49,371757.25,341261.6,226.1297141,922.3286486
107,Ciutatdeles Artsideles Ciències,428.15,34566.51,428.15,228.92,488091.7,2638.33,235422.26,66934.71,83.9,125.82,1561858.7,5692513.9,274.8299666,4045.852097
111,el Grau,581.52,30554.19,581.52,430.34,276819.04,1434.3,345114.14,215038.49,77.28,125.46,1386229.62,483845.61,206.7764946,294.4891114
112,el Cabanyal-el Canyamelar,348.03,73292.19,348.03,531.1,318870.55,2084.12,699539.18,136832.46,75.59,112.43,2401604.9,717636.29,176.3163424,289.9540566
113,la Malva-rosa,308.07,15430.61,308.07,532.09,42547.85,1701.91,527059.36,47028.15,76.82,111.18,1570027.87,400785.25,189.023341,706.8522928
114,Beteró,361.11,10288.95,361.11,395.73,30540.65,2036.04,318295.72,41937.36,79.14,122.27,1161066.28,104591.24,214.1793544,224.9273978
115,Natzaret,347.42,2345.19,347.42,167.51,23869.12,2169.92,249844.05,32381.12,78.15,129.52,586290.36,99370.55,167.4158652,296.6285075
121,Aiora,374.61,47646.54,374.61,410.75,209326.9,1868.99,885658.73,133825.19,79.08,105.13,3513377.07,556158.53,188.9420312,463.4654417
122,Albors,654.16,133264.45,654.16,4595.33,113336.98,2138.43,316238.03,44418.34,77.26,103.54,1400017.09,493142.57,219.9555522,462.6102908
123,la Creudel Grau,351.85,48616.88,351.85,501.2,154626.11,2534.85,522283.69,29789.81,78.56,95.48,1923733.01,440881.63,192.6237118,329.2618596
124,CamíFondo,632.06,6930.42,632.06,577.54,71802.82,2564.39,163776.3,50485.39,77.95,105.84,734874.53,240186.71,229.9357103,443.9680407
125,Penya-roja,880.69,597740.37,880.69,3689.76,876814.72,3235.48,399485.83,59242.14,88.44,111.15,3920308.99,3017688.8,361.3521053,1542.785685
131,l'Illa Perduda,343.83,6530.71,343.83,1306.14,57553.67,2302.15,349345.88,18510.49,78.65,100.06,1235092.05,128485.44,207.508745,289.3816216
132,Ciutat Jardí,547.88,21540.94,547.88,1267.11,150392.86,3007.86,559301.3,33499.82,82.07,103.71,2615890.88,301237.75,256.7115682,203.4015868
133,l'Amistat,471.82,5239.87,471.82,327.49,51808.23,1992.62,274758.76,19159.45,79.99,96.76,1249143.45,105627.08,222.425828,334.2629114
134,la Bega Baixa,676.77,5515.91,676.77,1103.18,96358.31,2604.28,260037.6,26013.57,81.36,103.23,1555635.02,192833.33,284.6541665,455.8707565
135,la Carrasca,856.03,3650.75,856.03,912.69,56984.38,2191.71,153954.99,17302.83,82.24,100.6,827226.85,333489.05,300.700418,1100.623927
141,Benimaclet,472.85,59196.58,472.85,822.17,230510.97,2095.55,915676.59,86885.04,80.44,99.18,4458337.43,677209.02,235.156782,380.8824634
142,Camíde Vera,416.74,1081.05,416.74,360.35,47153.1,2619.62,224816.15,9688.72,80.87,94.07,1020491.29,72314.7,237.8767576,406.2623596
